id,seperator,Key,Value,Count,w,Description,battleArea,spawnPoint,treasureReward,restingArea,questGiver,walkable
building_garage,_,building,garage,"6 020 922
1.12%",,Denotes a single-owner private garage,0,0,0,0,0,0
building_detached,_,building,detached,"5 845 890
1.09%",,A detached house: a free-standing residential building usually housing a single family.,0,0,0,0,0,0
building_apartments,_,building,apartments,"5 314 753
0.99%",,"A building arranged into individual dwellings, often on separate floors. May also have retail outlets on the ground floor.",0,0,0,0,0,0
building_shed,_,building,shed,"2 841 114
0.53%",,"A small, simple structure used as storage or workshop",0.1,1,1,1,1,0
building_hut,_,building,hut,"2 238 964
0.42%",,A small and crude shelter.,1,1,1,1,1,0.1
building_industrial,_,building,industrial,"2 053 429
0.38%",,A building constructed to house some manufacturing process,0.01,0.01,0.01,0.01,0.01,0
building_farm_auxiliary,_,building,farm_auxiliary,"1 891 812
0.35%",,A building on a farm that is not a dwelling.,0.1,1,1,0.1,1,0
building_roof,_,building,roof,"1 583 273
0.30%",,A building open on at least two sides.,0.8,0.8,0.8,1,0.8,0.8
building_terrace,_,building,terrace,"1 338 219
0.25%",,"The outline of a linear row of residential dwellings, each of which normally has its own entrance, which form a terrace (""row-house"" or ""townhouse"" in North American English).",0.8,0.8,0.8,0.9,0.8,0.8
building_commercial,_,building,commercial,"1 077 233
0.20%",,A building constructed for non-specific commercial activities to take place there.,0.01,0.01,0.01,0.01,0.01,0
building_school,_,building,school,"1 010 676
0.19%",,A generic school building.,0.01,0.01,0.01,0.01,0.01,0
building_semidetached_house,_,building,semidetached_house,"995 486
0.19%",,A house that shares a common wall with another on one side.,0.01,0.01,0.01,0.01,0.01,0
building_retail,_,building,retail,"811 930
0.15%",,A building primarily used for selling goods to the general public.,0.1,0.1,0.1,0.1,0.1,0
building_garages,_,building,garages,"806 647
0.15%",,A block of private garages each with a separate user/owner,0,0,0,0,0,0
building_construction,_,building,construction,"715 021
0.13%",,A building under construction,0,0,0,0,0,0
building_barn,_,building,barn,"674 624
0.13%",,An agricultural building used for storage and as a covered workplace.,0.1,0.1,0.1,0.1,0.1,0.1
building_cabin,_,building,cabin,"629 566
0.12%",,"A small, roughly built house typically found in rural areas.",0.01,1,1,1,1,0
building_outbuilding,_,building,outbuilding,"576 530
0.11%",,A less important building near to and on the same piece of land as a larger building,0.1,0.1,0.1,0.1,0.1,0
building_greenhouse,_,building,greenhouse,"573 588
0.11%",,A building in which plants are grown,0.1,0.1,0.1,0.1,0.1,0
building_service,_,building,service,"357 082
0.07%",,Service building usually is a small unmanned building with certain machinery (like pumps or transformers).,0.1,0.1,0.1,0.1,0.1,0
building_church,_,building,church,"351 527
0.07%",,A building that was built as a church.,0.1,1,1,1,1,0.8
building_farm,_,building,farm,"349 183
0.07%",,A farmhouse is the main building of a farm,0.1,0.1,1,0.5,1,0
building_warehouse,_,building,warehouse,"328 623
0.06%",,A commercial building for storage of goods.,0.1,0.1,0.1,0.1,0.1,0
building_static_caravan,_,building,static_caravan,"323 756
0.06%",,A mobile home (caravan) (semi)permanently left on a single site.,0.1,0.1,0.1,0.1,0.1,0
building_bungalow,_,building,bungalow,"302 795
0.06%",,"Simple single-storey flat house, bungalow, holiday cottage",0.1,0.1,0.1,0.1,0.1,0
building_office,_,building,office,"202 937
0.04%",,An office building,0.1,0.1,0.1,0.1,0.1,0
building_civic,_,building,civic,"174 810
0.03%",,"A building hosting any civic amenity (town hall, library, swimming pool).",0.1,0.1,0.1,0.1,0.1,0
building_ruins,_,building,ruins,"165 358
0.03%",,"Frequently used to mark ruined buildings. However, this usage conflicts with general use of building tag. In theory it should only be used for buildings constructed to look like ruins.",10,10,10,9,10,1
building_carport,_,building,carport,"152 209
0.03%",,"A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements.",0.1,0.1,0.1,0.1,0.1,0
building_university,_,building,university,"137 062
0.03%",,An university building.,0.1,0.1,0.1,0.1,0.1,0
building_allotment_house,_,building,allotment_house,"132 666
0.02%",,A small outbuilding for short visits in a allotment garden,0.1,0.1,0.1,0.1,0.1,0
building_public,_,building,public,"129 191
0.02%",,"A building constructed as accessible to the general public (town hall, police station, court house).",0.1,0.1,0.1,0.1,0.1,0
building_hospital,_,building,hospital,"127 791
0.02%",,A building which forms part of a hospital.,0,0,0,0,0,0
building_boathouse,_,building,boathouse,"111 907
0.02%",,A building for storing boats,0.1,0.1,0.1,0.1,0.1,0
building_hotel,_,building,hotel,"105 092
0.02%",,A building designed with separate rooms available for overnight accommodation.,0.1,0.1,0.1,0.1,0.1,0
building_manufacture,_,building,manufacture,"98 168
0.02%",,"A building constructed to house some manufacturing process, see also building=industrial.",0.1,0.1,0.1,0.1,0.1,0
building_chapel,_,building,chapel,"89 229
0.02%",,Building built as chapel,0.1,0.1,0.1,0.1,0.1,0
building_kindergarten,_,building,kindergarten,"88 813
0.02%",,A generic kindergarten building.,0,0,0,0,0,0
building_ger,_,building,ger,"87 385
0.02%",,"A portable, round tent (yurt or ger)",3,3,3,3,3,1
building_mosque,_,building,mosque,"75 001
0.01%",,A building that was built as a mosque,0,0,0,0,0,0
building_hangar,_,building,hangar,"72 841
0.01%",,"A hangar is a building used for the storage of airplanes, helicopters or space-craft.",,,,,,
building_storage_tank,_,building,storage_tank,"71 570
0.01%",,A storage tank,,,,,,
building_collapsed,_,building,collapsed,"70 475
0.01%",,,0,0,0,0,0,0
building_dormitory,_,building,dormitory,"52 157
0.01%",,College or university dormitory for shared living of its students.,0,0,0,0,0,0.1
building_bunker,_,building,bunker,"46 796
0.01%",,A hardened military building.,,,,,,
building_train_station,_,building,train_station,"45 885
0.01%",,A train station building,0,0,0,0,0,1
building_college,_,building,college,"42 588
0.01%",,A building constructed to house a college.,0,0,0,0,0,0
building_stable,_,building,stable,"39 198
0.01%",,A building or part of a building that is used as a stable for horses,0,0,0,0,0,0
building_slurry_tank,_,building,slurry_tank,"35 937
0.01%",,A circular concrete structure holding liquid manure.,0,0,0,0,0,0
building_silo,_,building,silo,"34 303
0.01%",,A silo is a building for storing bulk materials.,0,0,0,0,0,0
building_transportation,_,building,transportation,"33 657
0.01%",,A building related to the public transportation.,,,,,,
building_transformer_tower,_,building,transformer_tower,"33 280
0.01%",,A small but tall building constructed to comprise a transformer and connect to an overhead power line.,,,,,,
building_semi,_,building,semi,"30 547
0.01%",,A semi-detached house.,,,,,,
building_commercial;residential,_,building,commercial;residential,"24 078
0.00%",,,,,,,,
building_parking,_,building,parking,"21 863
0.00%",,Structure purpose-built for parking cars.,,,,,,
building_sty,_,building,sty,"21 430
0.00%",,A building for raising domestic pigs.,,,,,,
building_toilets,_,building,toilets,"19 808
0.00%",,A building designed for toilets.,,,,,,
building_cowshed,_,building,cowshed,"19 778
0.00%",,A building for housing cows.,,,,,,
building_temple,_,building,temple,"19 605
0.00%",,A building that was built as a temple,0,0,0,0,0,0
building_government,_,building,government,"17 201
0.00%",,Building built to house government offices.,0,0,0,0,0,0
building_damaged,_,building,damaged,"16 626
0.00%",,,,,,,,
building_houseboat,_,building,houseboat,"15 930
0.00%",,"A boat (re)constructed as a floating home, staying at a single permanent location.",,,,,,
building_kiosk,_,building,kiosk,"15 305
0.00%",,"A small one room retail building, with clients not entering the building.",,,,,,
building_grandstand,_,building,grandstand,"14 520
0.00%",,A grandstand at racecourse or sports ground.,,,,,,
building_fire_station,_,building,fire_station,"13 545
0.00%",,,0,0,0,0,0,0
building_trullo,_,building,trullo,"13 543
0.00%",,"A stone hut with a conical roof, built without mortar",,,,,,
building_supermarket,_,building,supermarket,"11 267
0.00%",,A building built as a supermarket,,,,,,
building_no,_,building,no,"10 990
0.00%",,,,,,,,
building_stilt_house,_,building,stilt_house,"10 558
0.00%",,Stilt houses are houses raised on piles over the surface of the soil or a body of water.,,,,,,
building_sports_centre,_,building,sports_centre,"10 530
0.00%",,A building that was built as a sports centre,,,,,,
building_pavilion,_,building,pavilion,"10 507
0.00%",,A building providing facilities for users of sports grounds,,,,,,
building_tomb,_,building,tomb,"9 521
0.00%",,,,,,,,
building_kitchen,_,building,kitchen,"9 384
0.00%",,,,,,,,
building_stadium,_,building,stadium,"8 848
0.00%",,A building which was built as stadium.,,,,,,
building_agricultural,_,building,agricultural,"7 576
0.00%",,,,,,,,
building_pajaru,_,building,pajaru,"7 408
0.00%",,,,,,,,
building_dam,_,building,dam,"7 125
0.00%",,,,,,,,
building_religious,_,building,religious,"6 792
0.00%",,A building that was built as a religious building.,,,,,,
building_container,_,building,container,"6 547
0.00%",,A container used as a building.,,,,,,
building_abandoned,_,building,abandoned,"6 305
0.00%",,,0,1,4,2,2,1
building_sports_hall,_,building,sports_hall,"6 304
0.00%",,A building that was built as a sports hall,,,,,,
building_duplex,_,building,duplex,"5 670
0.00%",,,,,,,,
building_wayside_shrine,_,building,wayside_shrine,"5 583
0.00%",,Tag is used also for modern shrines.,,,,,,
building_digester,_,building,digester,"5 582
0.00%",,"A building constructed as a digester, a bioreactor for the production of biogas from biomass.",,,,,,
building_tent,_,building,tent,"5 165
0.00%",,A building mainly consisting of sheets of fabric or similar,,,,,,
tactile_paving_no,_,tactile_paving,no,"1 073 523
54.13%",,Indicates lack of tactile paving.,1,1,1,1,1,4
tactile_paving_yes,_,tactile_paving,yes,"892 312
44.99%",,Indicates presence of tactile paving.,1,1,1,1,1,8
oneway_yes,_,oneway,yes,"15 953 795
79.40%",,One-way traffic in the direction indicated on the map.,0.01,0.01,0.01,0.01,0.01,0.7
oneway_no,_,oneway,no,"4 099 619
20.40%",,,1,1,1,0.1,1,1
memorial_war_memorial,_,memorial,war_memorial,"45 000
28.02%",,Specifies a memorial as a war memorial,1,8,9,6,7,1
memorial_plaque,_,memorial,plaque,"35 877
22.34%",,Specifies a memorial as a plaque.,4,10,10,7,10,4
memorial_statue,_,memorial,statue,"18 714
11.65%",,Specifies a memorial as a statue.,1,8,7,5,8,1
memorial_stele,_,memorial,stele,"14 939
9.30%",,Specifies a memorial as a stele.,3,4,5,4,8,2
memorial_stone,_,memorial,stone,"13 141
8.18%",,Specifies a memorial as a stone.,2,4,5,8,4,1
memorial_stolperstein,_,memorial,stolperstein,"7 812
4.86%",,Specifies a memorial as a stolperstein.,4,5,7,3,3,4
memorial_bust,_,memorial,bust,"7 718
4.81%",,Specifies a memorial as a bust.,2,3,4,4,5,1
landuse_farmland,_,landuse,farmland,"8 212 797
21.72%",,Area of farmland used mainly for tillage (annual crops).,0.8,0.8,1,2,0.6,0.6
landuse_residential,_,landuse,residential,"7 995 727
21.15%",,An area with predominantly houses or apartment buildings. E.g. an entire town geometry will often use these,0.8,0.8,0.8,0.8,0.8,0.8
landuse_grass,_,landuse,grass,"5 250 629
13.89%",,"A smaller area of grass, usually mown and managed.",10,10,5,8,1,9
landuse_forest,_,landuse,forest,"4 993 025
13.21%",,"Forest or woodland, sometimes considered to be restricted to managed woodlands or tree plantations.",5,5,4,7,3,6
landuse_meadow,_,landuse,meadow,"3 818 131
10.10%",,"An area of meadow or pasture: land primarily vegetated by grass and other non-woody plants, mainly used for hay or grazing.",3,2,2,2,2,2
landuse_orchard,_,landuse,orchard,"1 221 230
3.23%",,Used to mark intentional planting of trees or shrubs maintained for food production,1,1,1,1,1,1
landuse_farmyard,_,landuse,farmyard,"1 166 490
3.09%",,"Area of land with farm buildings (farmhouse, sheds, stables, barns, etc.)",0.8,0.8,1,0.5,0.6,0.6
landuse_industrial,_,landuse,industrial,"996 075
2.63%",,"An area with predominantly workshops, factories or warehouses.",0,0,0,0,0,0
landuse_vineyard,_,landuse,vineyard,"598 991
1.58%",,"Used to tag vineyards, a piece of land where grapes are grown.",0.8,0.8,1,0.9,0.6,0.6
landuse_cemetery,_,landuse,cemetery,"462 884
1.22%",,"A place where people, or sometimes animals are buried that isn't part of a place of worship",0.1,0.1,0.1,0.7,0.1,1
landuse_commercial,_,landuse,commercial,"374 680
0.99%",,"A commercial zone, predominantly offices or services.",0.1,0.1,0.1,0.1,0.1,0.1
landuse_allotments,_,landuse,allotments,"321 210
0.85%",,allotment gardens with multiple land parcels assigned to individuals or families for gardening.,0.1,0.5,0.8,0.1,0.8,0.2
landuse_reservoir,_,landuse,reservoir,"288 387
0.76%",,An artificial lake which may be used to store water.,0,0,0,0,0,0
landuse_retail,_,landuse,retail,"275 834
0.73%",,An area that encloses predominantly shops.,0.8,0.8,0.8,0.1,0.8,1
landuse_basin,_,landuse,basin,"231 145
0.61%",,An area of land artificially graded to hold water.,0.1,0.1,0.1,,0.1,0.1
landuse_quarry,_,landuse,quarry,"210 893
0.56%",,An area of land used for surface extraction (open-pit mining).,"0,7","0,7","0,7","0,7","0,7","0,7"
landuse_construction,_,landuse,construction,"189 537
0.50%",,An area being built on.,0.1,0.1,0.1,,0.1,0.1
landuse_recreation_ground,_,landuse,recreation_ground,"129 636
0.34%",,"An open green space for general recreation, which often includes formal or informal pitches, nets and so on. Often municipally owned, sometimes part of colleges / companies or commercially operated.",10,9,7,6,7,10
landuse_village_green,_,landuse,village_green,"106 583
0.28%",,A village green is a distinctive area of grassy public land in a village centre. Not a generic tag for urban greenery.,3,3,3,3,2,2
landuse_brownfield,_,landuse,brownfield,"106 307
0.28%",,Land which was developed which is no longer in use,2,2,3,2,1,1
landuse_greenhouse_horticulture,_,landuse,greenhouse_horticulture,"85 610
0.23%",,Land area used for growing plants in greenhouses.,0.1,0.1,0.1,0.1,0.1,0.1
landuse_garages,_,landuse,garages,"79 593
0.21%",,Denotes areas occupied by multiple private garage buildings,0,0,0,0,0,0
landuse_military,_,landuse,military,"76 099
0.20%",,Area used for military purposes.,0,0,0,0,0,0
landuse_religious,_,landuse,religious,"75 859
0.20%",,An area used for religious purposes,0,0,0,0,0,0
landuse_greenfield,_,landuse,greenfield,"69 558
0.18%",,Undeveloped land scheduled to turn into a construction site,,,,,,
landuse_logging,_,landuse,logging,"69 082
0.18%",,An area where some or all trees have been cut down.,2,4,4,1,2,1
landuse_aquaculture,_,landuse,aquaculture,"62 270
0.16%",,An area on land or water that is used to farm aquatic organisms.,0,0,0,0,0,0
landuse_railway,_,landuse,railway,"61 855
0.16%",,"An area of land dedicated to train operation or support, around tracks, yards, sidings, station complexes, and ancillary man-made objects along the tracks.",0.1,0.1,0.1,0.1,0.1,0.1
landuse_plant_nursery,_,landuse,plant_nursery,"44 869
0.12%",,"Represents land that is used solely for plant nurseries, which grow live plants for sale",,,,,,
landuse_landfill,_,landuse,landfill,"43 868
0.12%",,A site for permanent or long term storage of waste materials.,0.1,0.1,0.1,0.1,0.1,0.1
landuse_flowerbed,_,landuse,flowerbed,"37 979
0.10%",,An area designated for flowers,0.4,2,2,0.1,0.6,0.2
landuse_highway,_,landuse,highway,"24 558
0.06%",,"land used for a highway, including all auxiliary areas like associated footways and verges, ditches, etc.",0.01,0.01,0.01,0.01,0.01,0.01
landuse_salt_pond,_,landuse,salt_pond,"14 511
0.04%",,A place where sea water is evaporated to extract its salt,0,0,0,0,0,0
landuse_education,_,landuse,education,"13 698
0.04%",,An area predominately used for educational purposes/facilities.,,,,,,
sport_soccer,_,sport,soccer,"528 594
22.48%",,"Association football, more commonly known as football or soccer",0.01,0.01,0.01,0.01,0.01,0.01
sport_tennis,_,sport,tennis,"439 844
18.71%",,A competition where two or four players use a ball and rackets over a net.,0.01,0.01,0.01,0.01,0.01,0.01
sport_basketball,_,sport,basketball,"229 623
9.77%",,A sport played by two teams of five players on a rectangular court.,3,2,2,3,3,2
sport_baseball,_,sport,baseball,"154 174
6.56%",,A bat-and-ball game played between two teams of nine players on a field (pitch or stadium) each who take turns batting and fielding.,0.01,0.01,0.01,0.01,0.01,0.01
sport_multi,_,sport,multi,"130 315
5.54%",,"Property added to otherwise marked sports facility to indicate as suitable for more than one sport, without listing them",1,1,0.7,1,1,0.8
sport_swimming,_,sport,swimming,"94 697
4.03%",,A place where people do swimming.,0.7,0.7,0.7,0.1,0.5,0.5
sport_equestrian,_,sport,equestrian,"70 269
2.99%",,A sport practised with the horse as a partner; but for horse racing use tag:sport=horse_racing.,,,,,,
sport_golf,_,sport,golf,"68 666
2.92%",,a stick and ball game played from a 'tee' to a hole.,,,,,,
sport_running,_,sport,running,"44 898
1.91%",,Features dedicated to the sport of running,,,,,,
sport_fitness,_,sport,fitness,"42 998
1.83%",,Fitness sports,,,,,,
sport_athletics,_,sport,athletics,"37 277
1.59%",,"A collection of sports which combines various athletic contests based on the skills of running, jumping, and throwing.",,,,,,
sport_table_tennis,_,sport,table_tennis,"30 621
1.30%",,A bat and ball game played over a table.,,,,,,
sport_beachvolleyball,_,sport,beachvolleyball,"27 465
1.17%",,Volleyball played on a sand court,,,,,,
sport_climbing,_,sport,climbing,"26 510
1.13%",,"Marks elements to represent natural climbing sites (climbing areas, sectors, crags, frozen waterfalls, etc.) or artificial climbs (climbing walls, indoor climbing halls, etc.)",,,,,,
sport_volleyball,_,sport,volleyball,"25 472
1.08%",,Volleyball,,,,,,
sport_boules,_,sport,boules,"22 954
0.98%",,"A group of games in which the objective is to throw or roll heavy balls as close as possible to a small target ball, also called pétanque, lyonnaise, bocce, or bocce volo.",,,,,,
sport_skateboard,_,sport,skateboard,"22 587
0.96%",,An area designated and equipped for skateboarding,,,,,,
sport_american_football,_,sport,american_football,"19 726
0.84%",,A sport played by two teams of eleven players on a rectangular field with goalposts at each end.,,,,,,
playground_swing,_,playground,swing,"27 533
19.92%",,,1,2,2,3,1,0.8
playground_structure,_,playground,structure,"22 886
16.56%",,"Complex installation of connected playground devices comprising platforms, towers, bridges, to which further climbing/slide/swing devices can be attached to.",1,2,2,3,1,0.8
playground_slide,_,playground,slide,"16 128
11.67%",,A slide for children to play on in playgrounds.,1,2,2,3,1,0.8
playground_sandpit,_,playground,sandpit,"15 049
10.89%",,"sandbox, container or shallow depression filled with soft sand",3,3,4,3,3,2
playground_springy,_,playground,springy,"8 862
6.41%",,,1,2,2,3,1,0.8
playground_climbingframe,_,playground,climbingframe,"8 280
5.99%",✔,Climbing frame.,1,2,2,3,1,0.8
playground_seesaw,_,playground,seesaw,"5 971
4.32%",-,,1,2,2,3,1,0.8
playground_roundabout,_,playground,roundabout,"3 713
2.69%",-,,1,2,2,3,1,2
playground_playhouse,_,playground,playhouse,"3 320
2.40%",✔,Small house on playground.,1,2,4,3,3,0.8
incline_up,_,incline,up,"489 117
48.73%",✔,General direction of incline for ways going up the hill,0.8,1,1,0.6,1,2
incline_down,_,incline,down,"345 704
34.44%",✔,General direction of incline for ways going down the hill,0.8,1,1,0.6,1,2
service_driveway,_,service,driveway,"12 949 089
59.17%",,"Specifies that a road is a driveway, typically leading to a residence or business.",2,2,2,2,2,2
service_parking_aisle,_,service,parking_aisle,"5 630 458
25.73%",,a subordinated way in a parking lot between rows of parking spaces that vehicles use to drive into and out of the spaces.,1,1,1,1,1,2
service_alley,_,service,alley,"1 539 550
7.03%",,An alley is a service road usually located between properties for access to utilities.,2,3,2,3,3,2
service_yard,_,service,yard,"539 474
2.47%",,Tracks within rail yards operated by the same company as one operating main line,0,0,0,0,0,0
service_spur,_,service,spur,"486 208
2.22%",,"Relatively short lengths of track, built to give one company or entity access to the main line, normally for freight-only use.",0,0,0,0,0,0
service_siding,_,service,siding,"322 476
1.47%",,"Relatively short lengths of track, running parallel to (and connected to) a main route.",0,0,0,0,0,0
service_drive-through,_,service,drive-through,"167 539
0.77%",,A drive-through way where customers can visit a business without leaving their cars.,0.6,0.6,0.6,0.1,0.6,0.3
service_crossover,_,service,crossover,"80 958
0.37%",,A railway crossover,0,0,0,0,0,0
service_emergency_access,_,service,emergency_access,"43 815
0.20%",✔,A way that is an emergency access road,0,0,0,0,0,0.1
service_irrigation,_,service,irrigation,"16 786
0.08%",✔,Specifies a waterway which carries water to be used for agriculture,0,0,0,0,0,0
highway_residential,_,highway,residential,"63 322 476
27.44%",,Road in a residential area,0,0,0,0,0,0.1
highway_service,_,highway,service,"49 906 789
21.62%",,"Generally for access to a building, service station, beach, campsite, industrial estate, business park, etc.",1,1,1,0.6,1,2
highway_track,_,highway,track,"23 864 993
10.34%",,A minor land-access road like a farm or forest track.,1,1,1,1,1,2
highway_footway,_,highway,footway,"18 417 537
7.98%",,"For designated footpaths, i.e. mainly/exclusively for pedestrians",1,1,1,1,1,3
highway_unclassified,_,highway,unclassified,"16 321 149
7.07%",,"Public access road, non-residential.",0.1,0.1,0.1,0.2,0.1,0.4
highway_path,_,highway,path,"12 313 376
5.34%",,A generic or multi-use path open to non-motorized traffic.,2,2,2,2,2,2
highway_tertiary,_,highway,tertiary,"7 354 903
3.19%",,"A road linking small settlements, or the local centres of a large town or city.",0,0,0,0,0,0.1
highway_crossing,_,highway,crossing,"7 071 986
3.06%",,"The location of a designated street crossing for pedestrians, cyclists, or equestrians",0,0,0,0,0,0.4
highway_secondary,_,highway,secondary,"4 712 190
2.04%",,A highway linking large towns.,0,0,0,0,0,0
highway_primary,_,highway,primary,"3 267 658
1.42%",,A highway linking large towns.,0,0,0,0,0,0
highway_street_lamp,_,highway,street_lamp,"3 254 087
1.41%",,A single pole with one or more lights to illuminate the street.,1,2,2,1,2,2
highway_bus_stop,_,highway,bus_stop,"3 191 016
1.38%",,A bus stop is a place where public buses stop for passengers,2,2,2,4,4,2
highway_turning_circle,_,highway,turning_circle,"2 183 986
0.95%",,A widened area of road that allows vehicles to turn more easily,0,0,0,0,0,0
highway_living_street,_,highway,living_street,"1 594 444
0.69%",,Road with very low speed limits and other pedestrian friendly traffic rules.,0.9,0.9,0.9,0.9,0.9,0.9
highway_traffic_signals,_,highway,traffic_signals,"1 591 439
0.69%",,A traffic signal (or a set of those) for regulating circulation.,0.1,0.1,0.1,0.1,0.1,0.1
highway_trunk,_,highway,trunk,"1 556 881
0.67%",,Important roads that are not motorways.,0,0,0,0,0,0
highway_cycleway,_,highway,cycleway,"1 525 114
0.66%",,For designated cycleways,0,0,0,0,0,0.1
highway_steps,_,highway,steps,"1 438 481
0.62%",,For flights of steps on footways and paths.,1,1,1,1,1,1
highway_stop,_,highway,stop,"1 291 269
0.56%",,Used to mark stop signs,0.1,0.1,0.1,0.1,0.1,0.1
highway_motorway,_,highway,motorway,"1 119 593
0.49%",,High capacity highways designed to safely carry fast motor traffic.,0,0,0,0,0,0
highway_motorway_link,_,highway,motorway_link,"792 284
0.34%",,The link roads (sliproads / ramps) leading to and from a motorway.,0,0,0,0,0,0
highway_give_way,_,highway,give_way,"783 056
0.34%",,Used to mark give way (also known as yield) signs or markings,0.1,0.1,0.1,0.1,0.1,0.1
highway_pedestrian,_,highway,pedestrian,"720 676
0.31%",,Roads mainly / exclusively for pedestrians,3,2,1,3,2,8
natural_tree,_,natural,tree,"20 267 804
35.73%",,A single tree,3,4,8,6,8,0.6
natural_water,_,natural,water,"12 454 982
21.96%",,"Any inland body of water, from natural such as a lake or pond to artificial like a moat or canal",0,1,0,0,0,0
natural_wood,_,natural,wood,"8 509 481
15.00%",,Tree-covered area (a 'forest' or 'wood'),4,2,4,2,2,3
natural_scrub,_,natural,scrub,"3 709 838
6.54%",,"Uncultivated land covered with shrubs, bushes or stunted trees.",1,1,2,1,2,1
natural_wetland,_,natural,wetland,"2 837 872
5.00%",,A natural area subject to inundation or with waterlogged ground,0.2,0.2,1,0.1,0.2,0.2
natural_grassland,_,natural,grassland,"1 333 421
2.35%",,Areas where the vegetation is dominated by grasses (Poaceae) and other herbaceous (non-woody) plants.,4,3,3,4,3,4
natural_tree_row,_,natural,tree_row,"1 231 167
2.17%",,A line of trees,2,2,2,2,2,1
natural_coastline,_,natural,coastline,"1 126 141
1.99%",,The mean high water (springs) line between the sea and land (with the water on the right side of the way),6,10,10,6,2,0
natural_peak,_,natural,peak,"838 010
1.48%",,The top (summit) of a hill or mountain.,10,10,10,6,10,2
natural_bare_rock,_,natural,bare_rock,"792 544
1.40%",,"An area with sparse or no vegetation, so that the bedrock becomes visible",0.2,0.2,0.2,0.1,0.2,0.2
natural_cliff,_,natural,cliff,"671 929
1.18%",,"A vertical or almost vertical natural drop in terrain, usually with a bare rock surface. The bottom of the cliff is on the right side of the way.",0,1,0,0,0,0
natural_sand,_,natural,sand,"590 399
1.04%",,An area covered by sand with no or very little vegetation.,4,4,4,1,2,2
natural_heath,_,natural,heath,"444 599
0.78%",,"A dwarf-shrub habitat, characterised by open, low growing woody vegetation, often dominated by plants of the Ericaceae.",1,1,1,1,1,1
natural_scree,_,natural,scree,"262 782
0.46%",,Unconsolidated angular stones formed by rockfall and weathering from adjacent rockfaces,0.2,0.2,0.2,0.1,0.2,0.2
natural_rock,_,natural,rock,"220 096
0.39%",,A notable rock or group of rocks attached to the underlying bedrock,0.2,0.2,0.2,0.1,0.2,0.2
natural_spring,_,natural,spring,"158 979
0.28%",,A place where ground water flows naturally from the ground,0.2,1,1,0.1,0.2,0.2
natural_beach,_,natural,beach,"158 284
0.28%",,"landform along a body of water which consists of sand, shingle or other loose material",8,8,9,7,7,7
natural_ridge,_,natural,ridge,"152 172
0.27%",,A mountain landform with a continuous elevated crest or linear hill,,,,,,
natural_shrub,_,natural,shrub,"123 717
0.22%",,A shrub.,,,,,,
natural_glacier,_,natural,glacier,"80 840
0.14%",,A permanent body of ice formed naturally from snow that is moving under its own weight.,,,,,,
natural_bay,_,natural,bay,"73 283
0.13%",,Named area of water mostly surrounded by land but with level connection to the ocean or a lake.,,,,,,
natural_land,_,natural,land,"68 731
0.12%",,,,,,,,
natural_cave_entrance,_,natural,cave_entrance,"54 704
0.10%",,An entrance to a cave: a natural underground space large enough for a human to enter,,,,,,
natural_shingle,_,natural,shingle,"51 165
0.09%",,An accumulation of rounded rock fragments on a beach or riverbed,,,,,,
natural_saddle,_,natural,saddle,"48 484
0.09%",,The lowest point along a ridge or between two mountain tops,,,,,,
natural_reef,_,natural,reef,"44 092
0.08%",,"A feature (rock, sandbar, coral, etc) lying permanently beneath the surface of the water.",,,,,,
natural_stone,_,natural,stone,"42 864
0.08%",,"A single notable freestanding rock, which may differ from the composition of the terrain it lies in.",,,,,,
natural_cape,_,natural,cape,"42 247
0.07%",,A piece of elevated land sticking out into the sea or large lake.,,,,,,
natural_valley,_,natural,valley,"40 230
0.07%",,A natural depression flanked by ridges or ranges of mountains or hills,,,,,,
natural_crevasse,_,natural,crevasse,"36 427
0.06%",,A large crack in a glacier,,,,,,
natural_sinkhole,_,natural,sinkhole,"32 780
0.06%",,A natural depression or hole in the surface topography.,,,,,,
natural_fell,_,natural,fell,"27 172
0.05%",,"Habitat above tree line covered with grass, dwarf shrubs and mosses.",,,,,,
natural_hill,_,natural,hill,"25 329
0.04%",,A hill,,,,,,
natural_mud,_,natural,mud,"22 279
0.04%",,Area covered with mud: water saturated fine grained soil without significant plant growth.,,,,,,
surface_asphalt,_,surface,asphalt,"21 163 003
43.30%",,Specifies that object is paved with asphalt concrete,0.7,0.8,0.7,0.5,0.7,7
surface_unpaved,_,surface,unpaved,"9 532 053
19.50%",,"Indicates that the feature has an unpaved surface, such as gravel or grass.",2,2,1,2,2,3
surface_paved,_,surface,paved,"3 921 693
8.02%",,"Describes the surface of a feature roughly as predominantly paved over the whole surface area; i.e., covered with paving stones, concrete or bitumen. This value gives only a rough description; use a more precise value if possible",,,,,,
surface_ground,_,surface,ground,"2 768 784
5.66%",,"No special surface, the ground itself has marks of human or animal usage. This value gives only a rough description; if possible, use a more precise value such as grass, clay, sand, earth, gravel or pebblestone.",,,,,,
surface_concrete,_,surface,concrete,"2 366 826
4.84%",,"Cement based concrete, forming a large surface.",,,,,,
surface_paving_stones,_,surface,paving_stones,"2 275 239
4.65%",,"A surface paved with artificial blocks (block pavers, bricks) or natural stones (flagstones), with a flat top.",2,2,2,2,2,9
